checkin_dates,checkout_dates,h_address1,h_address2,h_amenities1,h_amenities2,h_amenities3,h_amenities4,h_amenities5,h_amenities6,h_amenities7,h_name,h_phone,h_ranking,h_rating_avg,h_rating_excellent,h_rating_poor,h_rating_terrible,h_rating_vgood,h_review1,h_review2,h_review3,h_review4,h_review5,h_reviewnums,h_starrating,h_tripadvisor_rating,tripadvisor_price,expedia_price,orbitz_price
16-Apr,17-Apr,5-7130 Kuhio Highway,"Hanalei, Kauai, HI 96714-9985",Free Wifi,Free Parking,Beachfront,Pool,Non-Smoking Hotel,Restaurant,Family Rooms,Hanalei Colony Resort,(940) 202-7735,#1,8%,64%,2%,1%,25%,"We enjoyed our stay at this laid back resort- really a condo complex with amenities. The location is not to be beat, with miles of beach literally out the door. The units are comfortable and basic, providing semi-private sleeping areas with separate baths, a functional...","Although the resort had its faults, I can’t help but give it a 5 star location. I have yet to see a more perfect view in Hawaii. We stayed in condo A1 and were literally feet from the ocean. I spent hours on our lanai...",We stayed seven days at the appartment H3. We loved the whole furnishings with two bathrooms and a big balcony with a wonderful ocean view. There was a sand beach and an elegant pool area and we enjoyed that the only sound were the waves!...,First rule of Hanalei colony resort is don’t talk about HCR. If you want the typical resort experience stay in Princeville or Poipu. If you need to drop $50 for breakfast stay at the st Regis. If you want one of the most beautiful places...,"This is what I wanted  - a quiet place to just sit and watch the sky and ocean and take a break. We stayed in early November, in a premium ocean front unit, A1, and the view was incredible. These are condos built in the...",585 reviews, Kitchenette ,4.5,399,399,399
16-Apr,17-Apr,5-7130 Kuhio Highway,"Hanalei, Kauai, HI 96714-9985",Free Wifi,Free Parking,Beachfront,Pool,Non-Smoking Hotel,Restaurant,Family Rooms,Hanalei Colony Resort,(940) 202-7735,#1,8%,64%,2%,1%,25%,"We stayed in the unit shown on the website under ""premium oceanfront"" which is unit J-1.    View of the ocean was spectacular.   We enjoyed lying in bed, looking out to the ocean, and listening to the surf.  Unfortunately, the unit itself was not particularly clean...","My husband and I stayed in a room here on the last three nights of our honeymoon, wanting to end our trip in a relaxing place that was a little more luxurious than our two other cabins we stayed at. We were so happy with...","Hanalei Bay resort 

Individually owned 1960s rental condos with:
Great views of ocean; 
nice location...can walk to Tunnels 
Convenient friendly coffee shop and restaurant was very be too!!
However:
Our unit smelled STRONGLY of mold all 3d despite friendly staff cleaning one obvious source in...","Tucked in at the end of North Shore is this gem of a resort! HUGE suites with amazing views! Large spaces and multiple areas to relax. Beach Front access, and I could go on and on! 

Staff was great, laundry service available, etc.",The Resort is comprised of a number of stand-alone buildings scattered across the property. It looks like most of the buildings have 2 units upstairs and 2 downstairs. The units are lovely but not extravagant. There is no air conditioning but it’s not a problem...,585 reviews, Kitchenette ,4.5,399,399,399
16-Apr,17-Apr,5-7130 Kuhio Highway,"Hanalei, Kauai, HI 96714-9985",Free Wifi,Free Parking,Beachfront,Pool,Non-Smoking Hotel,Restaurant,Family Rooms,Hanalei Colony Resort,(940) 202-7735,#1,8%,64%,2%,1%,25%,"This is a condo, so units vary. In order to get ocean front, we elected to stay 1 night in the first unit and 4 nights in another.  Unit I4 was a second unit and very nice, with modern, stylish upgrades.  Unit A1 was ground...","Enjoyed a clean, comfortable condo, fully equipped with an ocean view.  Easy access to local top notch beaches via car (if you're up early, you may get a parking place) or take the van.  Quiet, lovely beach.  Good restaurants are a car drive away...over one...",Our ocean front suite with fully equipped kitchen matched all our dreams. The sunrises are spectacular. Sitting on the terrace you feel like you don't want to leave anymore. There are only a few steps to walk to the beach. The suites and the whole...,"If you want peace and quite and the sights and sounds of the Pacific, this is a perfect place.  This is where you go to get away from it all.
This is the northern most resort on the island.
Since the resort is on the...","My family loved Hanalei Colony Resort.  It really does depend what you are looking for.  We wanted a low key, ocean-front property without a big resort feel.  We really appreciated the secluded location and didn't mind driving the 15 minutes into town at all.  (They...",585 reviews, Kitchenette ,4.5,399,399,399
16-Apr,17-Apr,5-7130 Kuhio Highway,"Hanalei, Kauai, HI 96714-9985",Free Wifi,Free Parking,Beachfront,Pool,Non-Smoking Hotel,Restaurant,Family Rooms,Hanalei Colony Resort,(940) 202-7735,#1,8%,64%,2%,1%,25%,My husband and I stayed at HCR for 6 days and were completely in love with the place. The room had a view of the ocean and a nice porch where we sat and ate breakfast and dinner. We loved the on-site coffee shop for...,"My wife and I stayed here for four nights over Labor Day Weekend.  My experience may have been different had we only stayed for a night or two, which I would definitely recommend.

First, the good.  The views of the ocean are amazing.  We had...","our room was a "" Two-Bedroom Suite with Premium Ocean View"" I like this property but its relatively expensive for what you get I was really looking forward to staying here but there were a few disconnects plus it is about a 15 min drive...","My husband and I stayed at HCR as part of our honeymoon and it was completely lovely. We stayed in a premium oceanfront room (I4) and the view was SPECTACULAR. Seriously, the photos of this place are spot on. You will not be disappointed. We...","I can't express how breathtaking this resort is, I would never ever stay anywhere else again, I come at least once a year and on a good year 2 times! There is nothing like going to bed at night and waking up to the sound...",585 reviews, Kitchenette ,4.5,399,399,399
16-Apr,17-Apr,5-7130 Kuhio Highway,"Hanalei, Kauai, HI 96714-9985",Free Wifi,Free Parking,Beachfront,Pool,Non-Smoking Hotel,Restaurant,Family Rooms,Hanalei Colony Resort,(940) 202-7735,#1,8%,64%,2%,1%,25%,We stayed 8 nights in one of the oceanfront rooms (K4).  We loved it and now can't imagine we will stay anywhere else when we visit Hawaii.  The view was amazing and having the full kitchen and two full baths was perfect (his and hers)....,"We started out booking 5 nights...but only ended up staying one, because we had no other choice by the time we got to our rooms due to the time of day.  Parking is rather inconvenient and far away from most of the units....BUT...they will provide...",Romantic Secluded Escape!  We stayed here (Bldg F) for our 25th Anniversary.   Floor plan is very open.  Loved the view from our balcony.  Jessica in the front office was super helpful.  Coffee shop doesn't open til 7am- that's a little tough if your time is...,"We stayed in the colony resort for our wedding and honeymoon. The place is pradise, very remote, so it's recommended to bring a car or rent one. Luckily the resort offers a free shuttle service that takes you as far as Princeville. The drivers and...",I stumbled upon HCR through an Internet search. Best Internet search I've ever done. Ever! This lovely gem of a resort is situated perfectly among Kauai's north shore beaches with many units that have been redone with an incredibly tasteful eye. I am a very...,585 reviews, Kitchenette ,4.5,399,399,399
16-Apr,17-Apr,5-7130 Kuhio Highway,"Hanalei, Kauai, HI 96714-9985",Free Wifi,Free Parking,Beachfront,Pool,Non-Smoking Hotel,Restaurant,Family Rooms,Hanalei Colony Resort,(940) 202-7735,#1,8%,64%,2%,1%,25%,"We enjoyed our stay, nice people, clean room. Near north shore beaches, a great quiet getaway. 

We were disappointed in the unit's location given what we thought we were paying for. Our room was listed as 'Oceanfront'...and I suppose that's valid given how real estate...","We had the best time and Loved being at the HCR - far enough from town that there was NO Noise - street, traffic, sirens, Few People! Even tho the resort was full while we were there NOTHING seemed over crowded! My family was split...","Although these timeshares were built in the late 1960's, they are well maintained with lovely furnishings. It is located on the northern coast, which is a 50 minute drive from the airport. Unfortunately the restaurant on property had closed and a new one was going...","The location and setting of this resort is superb, and is well away from most of the Hawaii tourist crowds. The surrounding beaches are good, but can get busy. Resort units are all self-catering condos and very spacious, clean and well-equipped. Choose unit carefully as...","We are staying in a premier ocean front condo, steps from the ocean.  This evening  there was a brilliant double rainbow over the water, Our condo is beautifully furnished.  The staff is friendly and accommodating. Since this is our sixth visit, we clearly love this...",585 reviews, Kitchenette ,4.5,399,399,399
16-Apr,17-Apr,420 Papaloa Road,"Kapaa, Kauai, HI 96746-1449",Free Wifi,Parking,Breakfast Available,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Kauai Shores Hotel,(808) 201-6271,#7,12%,43%,6%,2%,37%,"We stayed here for 3 nights before moving on to another part of the island.  Altho the room is small, it's clean and comfortable.  The Kuerig coffee maker and mini-frig are a plus.  The beds were very comfortable and we slept well.  The ocean was...",,Nice being on the beach and the staff were very friendly.  The rooms are comfortable and great to return to.  There are beach towels available which is a great asset when limited space in the suitcase.  Would like to return another time,"A. ALOHA: A very cozy hotel- with a sweet HAWAIIAN  Atmosphere

B. BALCONY:  (""LANAI"" )was nice -BUT NOT very private

C. CLUB: We really enJOYed the LAVA LAVA BEACH CLUB Restaurant on the property- OCEAN FRONT WITH LIVE MUSIC!!!","This hotel is difficult to locate. The grounds are beautiful, the beds are comfortable, the room was clean, and there are 2 pools + a pretty noisy restaurant (acoustics) and bar right on the beach......and it’s within walking distance of several restaurants. It’s decor is...",130 reviews, Restaurant ,4,189,189,189
16-Apr,17-Apr,420 Papaloa Road,"Kapaa, Kauai, HI 96746-1449",Free Wifi,Parking,Breakfast Available,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Kauai Shores Hotel,(808) 201-6271,#7,12%,43%,6%,2%,37%,"First, the good news. This hotel as a wonderful, friendly staff. The location is also lovely, right on the beach, and the restaurant/bar is literally a stone's throw from the ocean. the property is old but fairly well-maintained, rooms are clean and nice looking, if...","We rented a studio w kitchenette for 7 days.  We brought our 8 mo on her first vacation.  
Positives:
- Super friendly staff 
- Great sleep in ultra comfy beds
- Everything you need: beach, food, coffee, pool, etc. comfortable walking distance.
- Those who...",Kauai Shores Hotel is awesome! Right on the beach! Awesome customer service! Great food served beachfront too!! And affordable!! (o; This pic of my card key says it all!! Can’t wait til my next visit to Kauai so I can stay here again!,"Stayed here for about a week with some of my friends and it was awesome! The staff was friendly and always made us feel welcome. The rooms were clean, the ac was cold, and the wifi was available in our rooms & by the pool....",Room was super clean and outstanding decorated. Staffs were outstanding. Well located so made it easy to get to things we wanted to visit. Think they must have the best social setting around at nights. For sure will visit again next year.,130 reviews, Restaurant ,4,189,189,189
16-Apr,17-Apr,420 Papaloa Road,"Kapaa, Kauai, HI 96746-1449",Free Wifi,Parking,Breakfast Available,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Kauai Shores Hotel,(808) 201-6271,#7,12%,43%,6%,2%,37%,"My daughter and I stayed at Kauai Shores for the entire month of Jan. 2018.  We stayed in room 1011.  It was clean, furnished nicely and very comfortable.  We found the maid service excellent as well as the people at the office and desk.  We...","After reading many mixed reviews about the Kauai Shores I am pleased to say our stay was perfect for us. The weather was perfect the first few days so we took full advantage of the pool and the beach chairs. Then the rains came, but...","This is a mom and pop budget hotel that has been nicely renovated.  Quiet, clean, with comfortable beds and an ideal location to see the rest of the island.  Close to shopping and restaurants, with a small mall across the street.  Rooms are spacious and...","I've stayed at this Hotel a few times.  It's an old Hotel that has been partially updated.  They did a good job, however they should invest in new mattresses.  They recently opened Lava Lava which provides night time entertainment with a band just off the...","My husband and I stayed here for 12 days in January. We choose Kauai Shores because it was reasonably priced and preferred to spend our money by renting a jeep to explore the island and on excursions. 
If you are looking to be pampered and...",130 reviews, Restaurant ,4,189,189,189
16-Apr,17-Apr,420 Papaloa Road,"Kapaa, Kauai, HI 96746-1449",Free Wifi,Parking,Breakfast Available,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Kauai Shores Hotel,(808) 201-6271,#7,12%,43%,6%,2%,37%,We stayed here for 12 days.  The location and set up of the hotel is fabulous! Our room had a view of the pool and the balcony we a great place to relax.   Wonderful staff and service.  I would return here again!,Very nice place that is centrally located on the island. We felt close to everything as opposed to be isolated at the top of the island. The grounds are well-kept and the ocean was beautiful (pretty intense waves while we were there). The restaurant serves...,My wife and I stayed here for three nights Jan.15-18 on a recent Hawaiian vacation. It was our first time on Kauai and we had a bit of difficulty finding the Hotel as our Garmin GPS had no listing. It turned out it was called...,"We stayed here for one night and it very very pleasant.  Our room was very large, had a mini fridge, air conditioning, and the bed was comfy. Parking was a little tight, so we walked to the little shopping center next to the hotel. Lots...","Very nice stay. We were here for 7 nights during year end. Staff was very helpful, laid back atmosphere, big clean room with an excellent bed. The complex is big but still pleasant and quiet. 
Lava lava beach club is a good place to relax...",130 reviews, Restaurant ,4,189,189,189
